Index,NumStates, TimeTaken(ms),EquivalenceQueries, MembershipQueries
2217,61,14,11,37750
2218,49,16,16,47172
2219,53,24,20,64738
2220,111,43,19,116529
2221,230,408,58,963540
2222,217,165,31,418210
2223,56,17,14,44520
2224,37,24,21,64591
2225,43,10,11,28487
2226,90,31,13,83143
2227,174,156,42,382598
2228,157,274,68,623478
2229,119,39,15,99902
2230,76,28,16,74093
2231,180,251,55,574936
2232,51,12,12,33944
2233,199,71,14,182992
2234,35,18,21,49448
2235,227,98,17,246085
2236,52,13,12,35622
2237,191,67,13,167519
2238,1,1,1,65
2239,116,262,69,599033
2240,129,52,15,138226
2241,143,71,20,186652
2242,121,48,15,127969
2243,32,8,13,25860
2244,161,198,53,468490
2245,60,21,13,62271
2246,214,88,14,212759
2247,84,40,20,104188
2248,108,75,26,178712
2249,126,58,16,146753
2250,167,206,43,471617
2251,38,12,11,34090
2252,163,92,19,237328
2253,92,118,46,294795
2254,16,2,10,7542
2255,89,31,16,81514
2256,147,110,26,267865
2257,155,180,42,436530
2258,155,85,21,218492
2259,28,7,13,19508
2260,62,21,14,53750
2261,186,84,16,206706
2262,205,90,17,228530
2263,60,42,29,103305
2264,53,27,21,72215
2265,166,84,20,214776
2266,42,17,19,46996
2267,85,30,13,82834
2268,156,158,30,382114
2269,193,133,23,328563
2270,152,66,18,170094
2271,180,137,27,344923
2272,59,24,26,62167
2273,20,3,8,9777
2274,91,34,14,88275
2275,196,110,20,274098
2276,207,156,26,390486
2277,219,86,14,205966
2278,149,176,42,437419
2279,110,38,14,102375
2280,121,246,56,562768
2281,71,20,10,50812
2282,116,48,18,125872
2283,94,28,15,74471
2284,29,5,11,17155
2285,50,16,13,44043
2286,121,47,15,121184
2287,197,77,16,190110
2288,50,21,21,59683
2289,59,21,18,55317
2290,29,7,13,19487
2291,161,64,17,162321
2292,55,19,16,54106
2293,196,128,23,324251
2294,57,22,18,59708
2295,18,3,8,9152
2296,173,95,18,239652
2297,110,40,15,111267
2298,46,9,8,23898
2299,28,5,10,14805
2300,15,2,9,7346
2301,44,9,10,26444
2302,9,2,8,4543
2303,18,3,9,10319
2304,243,184,27,446815
2305,167,72,18,183092
2306,211,101,18,247267
2307,224,120,21,307636
2308,80,70,27,176799
2309,191,80,17,201027
2310,57,39,26,105373
2311,211,155,27,374183
2312,254,164,27,404615
2313,168,63,13,158306
2314,193,279,51,665807
2315,154,206,46,511771
2316,137,52,16,128551
2317,190,192,36,464325
2318,1,0,1,65
2319,104,57,23,145482
2320,23,4,10,12457
2321,1,0,1,65
2322,49,18,18,48574
2323,113,59,19,152031
2324,163,172,42,408770
2325,102,29,13,78129
2326,74,108,40,248014
2327,158,96,23,244062
2328,200,68,13,170657
2329,42,11,10,29299
2330,122,85,28,218361
2331,42,10,11,28595
2332,34,15,19,41935
2333,220,99,18,241109
2334,100,39,16,102920
2335,1,0,1,65
2336,31,17,24,46832
2337,1,0,1,65
2338,88,70,31,183946
2339,235,118,19,286534
2340,152,82,19,203332
2341,50,17,17,48649
2342,47,15,13,43117
2343,143,86,29,217841
2344,81,30,15,81158
2345,122,218,61,486059
2346,77,24,14,61022
2347,189,291,48,678119
2348,93,44,20,118203
2349,48,17,16,48766
2350,47,16,14,48141
2351,149,91,23,238325
2352,246,197,28,455194
2353,89,29,14,78194
2354,162,70,16,180162
2355,144,62,14,164196
2356,116,65,23,166764
2357,1,0,1,65
2358,21,6,12,16219
2359,44,17,16,45931
2360,52,24,19,67915
2361,129,64,20,167688
2362,84,46,22,120840
2363,114,65,21,174556
2364,1,0,1,65
2365,207,126,19,308673
2366,165,250,49,598541
2367,78,33,23,87207
2368,1,0,1,65
2369,14,2,8,8041
2370,19,4,8,10559
2371,186,85,17,210146
2372,50,50,34,120190
2373,136,45,15,118719
2374,105,78,29,205186
2375,125,54,15,135049
2376,199,67,15,176909
2377,1,1,1,65
2378,92,69,30,182321
2379,131,77,26,198784
2380,196,136,22,332852
2381,147,136,40,330974
2382,221,133,21,331351
2383,81,28,13,80351
2384,63,49,33,124921
2385,142,76,27,191132
2386,74,80,36,205681
2387,117,41,15,105214
2388,12,2,9,6006
2389,135,74,21,192884
2390,237,190,24,469051
2391,100,73,34,190076
2392,1,0,1,65
2393,101,33,15,90799
2394,26,9,17,25522
2395,205,73,15,183215
2396,233,96,16,226683
2397,32,6,10,17652
2398,24,5,11,12558
2399,79,61,30,146893
2400,74,44,21,119298
2401,166,109,27,275165
2402,166,76,16,189314
2403,226,109,18,274531
2404,128,44,13,114598
2405,1,0,1,65
