Index,NumStates, TimeTaken(ms),EquivalenceQueries, MembershipQueries
1717,26,52,5,1590
1718,224,685,2,17960
1719,150,1284,7,27391
1720,36,42,2,1460
1721,40,58,4,2106
1722,220,562,2,15876
1723,158,906,5,21239
1724,36,33,2,1533
1725,194,520,2,13615
1726,97,487,6,14430
1727,208,1113,5,26271
1728,103,249,4,9315
1729,20,17,2,574
1730,19,21,4,702
1731,133,1016,7,20826
1732,113,406,3,10669
1733,50,126,2,2525
1734,73,106,2,3675
1735,212,476,2,13600
1736,121,326,2,8748
1737,206,536,4,17759
1738,170,841,7,27280
1739,228,543,2,15538
1740,150,1078,8,27692
1741,192,526,2,15400
1742,216,539,2,17753
1743,153,381,2,12280
1744,220,1767,7,46746
1745,85,121,2,5130
1746,141,316,3,11037
1747,169,375,2,10509
1748,197,437,2,13430
1749,58,77,2,2808
1750,50,148,8,4848
1751,12,9,3,400
1752,178,439,2,12495
1753,114,441,5,14427
1754,15,12,3,620
1755,127,319,2,8415
1756,125,302,2,8283
1757,110,883,11,22321
1758,191,546,3,14171
1759,135,264,3,10298
1760,118,251,2,6873
1761,241,1797,7,50232
1762,185,423,3,16695
1763,228,568,2,18280
1764,79,171,4,4929
1765,53,63,3,3424
1766,172,865,6,21390
1767,34,42,4,1794
1768,221,2470,8,56261
1769,169,375,3,10509
1770,110,368,5,10387
1771,193,514,2,15093
1772,127,462,3,10455
1773,88,149,2,4956
1774,210,613,2,18945
1775,198,795,5,23423
1776,98,482,5,9062
1777,15,9,3,496
1778,236,1222,4,27434
1779,228,513,2,17366
1780,28,28,4,1653
1781,131,621,4,14728
1782,70,106,2,3948
1783,205,865,3,17262
1784,25,34,3,1326
1785,140,1634,12,33158
1786,68,349,7,9727
1787,163,1585,8,31392
1788,169,804,3,18306
1789,215,552,2,15947
1790,137,268,2,10725
1791,154,375,2,9270
1792,80,419,7,12236
1793,60,161,3,5687
1794,107,273,2,7525
1795,185,459,2,12614
1796,207,1107,6,29880
1797,52,74,2,2205
1798,103,359,2,8487
1799,65,154,4,4978
1800,155,526,2,14306
1801,80,442,10,11431
1802,84,180,3,4901
1803,25,37,6,1377
1804,174,430,3,11168
1805,30,39,5,1891
1806,202,672,3,21060
1807,174,922,6,27920
1808,245,1252,4,33879
1809,172,1000,9,34500
1810,150,909,7,23478
1811,131,292,3,11835
1812,146,341,4,14357
1813,199,528,3,16758
1814,12,9,2,300
1815,210,484,2,14735
1816,148,369,2,10098
1817,97,232,3,7410
1818,212,3307,8,48875
1819,138,302,4,10526
1820,49,67,4,3069
1821,223,734,3,21903
1822,187,441,3,18375
1823,127,515,7,20400
1824,9,7,3,228
1825,190,432,2,11811
1826,152,230,2,10065
1827,233,571,2,14944
1828,211,1375,4,28341
1829,183,820,6,26791
1830,148,1175,12,33561
1831,124,288,2,6972
1832,195,1429,8,42228
1833,68,127,3,3014
1834,193,927,6,26703
1835,214,494,3,16302
1836,88,667,7,12567
1837,123,357,3,9633
1838,75,115,3,5134
1839,21,20,4,903
1840,138,356,4,13019
1841,70,105,2,4230
1842,168,419,2,10784
1843,128,562,6,14392
1844,138,597,2,8864
1845,14,10,4,638
1846,5,2,3,77
1847,12,10,4,425
1848,72,173,6,6525
1849,104,214,3,6688
1850,1,0,1,3
1851,73,138,3,5439
1852,109,209,3,5913
1853,65,98,2,3144
1854,108,230,3,7378
1855,111,192,2,6244
1856,27,27,4,1485
1857,141,437,4,12452
1858,8,4,4,204
1859,181,373,3,12342
1860,187,1801,6,30750
1861,1,0,1,3
1862,98,189,2,6501
1863,126,2193,15,42504
1864,159,596,3,16588
1865,148,372,2,10395
1866,214,1730,8,48048
1867,26,20,4,954
1868,198,520,3,15483
1869,46,87,4,3162
1870,183,786,4,20552
1871,249,1209,2,21956
1872,240,2030,6,44252
1873,83,140,3,4008
1874,163,628,2,11445
1875,246,3208,9,64090
1876,26,26,2,1272
1877,73,191,5,6468
1878,173,1015,9,25678
1879,168,611,5,21905
1880,173,2232,6,39211
1881,111,228,2,7359
1882,175,472,3,13689
1883,122,395,4,14700
1884,228,517,2,14624
1885,229,537,2,17442
1886,30,25,2,976
1887,69,135,2,4448
1888,37,46,3,1800
1889,137,1550,11,31625
1890,66,113,2,3724
1891,162,360,2,10725
1892,150,469,2,10535
1893,145,364,3,9312
1894,137,299,3,9900
1895,16,18,3,528
1896,24,34,8,1715
1897,78,118,4,5338
1898,217,2245,13,60465
1899,116,1402,7,22135
1900,132,312,2,8480
1901,153,289,3,11973
1902,15,13,4,899
1903,127,481,5,14790
1904,179,429,3,14360
1905,68,102,2,3014
1906,79,110,2,3816
1907,224,592,3,16164
1908,182,1252,6,33945
1909,202,603,2,14175
1910,93,155,2,5610
1911,121,318,2,7533
1912,12,10,4,425
1913,101,339,3,10150
1914,207,934,5,26560
1915,166,797,6,28305
1916,98,142,2,6501
1917,87,219,4,6475
1918,80,158,4,5474
1919,162,936,7,24375
1920,155,558,4,15861
1921,138,375,3,10803
1922,89,255,4,9666
1923,153,416,3,10745
1924,173,377,3,10063
1925,166,652,3,15984
1926,42,45,2,1700
1927,113,281,4,9534
1928,148,468,2,10692
1929,240,1822,7,47138
1930,120,255,2,7712
1931,14,10,2,522
1932,50,79,4,3636
1933,30,38,3,1647
1934,78,226,4,8007
1935,40,63,2,1782
1936,210,1254,4,25260
1937,174,652,3,14658
1938,10,7,3,252
1939,128,597,5,21845
1940,110,222,3,6630
1941,68,95,3,4110
1942,84,135,3,5746
1943,57,65,2,2415
1944,170,456,3,15686
1945,60,81,2,2904
1946,45,75,3,2457
1947,214,544,3,18018
1948,173,522,2,13533
1949,204,464,2,13906
1950,21,17,3,774
1951,20,38,6,1107
1952,52,561,6,5145
1953,189,1020,4,31457
1954,51,169,7,5356
1955,184,673,4,15129
1956,114,252,3,9389
1957,73,160,3,4998
1958,37,47,4,2175
1959,234,2273,5,39396
1960,213,1122,5,28609
1961,193,411,2,11223
1962,102,177,3,7585
1963,241,2268,12,64722
1964,173,425,4,15962
1965,236,1513,5,35948
1966,47,62,2,2470
1967,197,1114,3,29625
1968,220,828,4,24255
1969,120,327,4,12050
1970,155,320,2,10885
1971,1,0,1,3
1972,213,414,2,13664
1973,125,282,2,7781
1974,69,124,4,4448
1975,143,879,5,22386
1976,51,218,9,7416
1977,139,841,9,22599
1978,189,929,5,26909
1979,125,288,3,9036
1980,85,150,3,5643
1981,220,482,2,12348
1982,205,1626,10,47676
1983,176,415,2,11649
1984,204,492,3,13497
1985,21,18,4,860
1986,158,379,3,10461
1987,17,19,7,910
1988,22,30,4,1080
1989,13,9,2,270
1990,153,666,4,18420
1991,10,6,4,294
1992,68,86,3,3425
1993,221,835,3,21264
1994,229,1053,4,27540
1995,46,65,2,1860
1996,12,7,4,450
1997,233,670,2,17746
1998,22,22,3,900
1999,194,527,2,14393
2000,58,80,2,2691
2001,29,31,3,1062
2002,38,50,2,1540
2003,167,585,3,16415
2004,85,172,2,4275
2005,23,16,3,1034
2006,220,1907,8,55566
2007,168,314,4,13143
2008,224,593,2,15715
2009,176,1892,13,47302
2010,196,2448,11,52269
2011,67,103,2,3375
2012,51,63,2,2163
2013,134,1376,9,25017
2014,1,0,1,3
2015,132,466,5,17490
2016,51,131,4,4223
2017,107,561,7,16555
2018,179,905,5,28361
2019,178,623,5,21063
2020,104,495,7,14212
2021,121,1160,5,18225
2022,229,611,3,17901
2023,162,636,5,18850
2024,70,86,3,3948
2025,85,111,3,4275
2026,210,2915,12,65676
2027,67,111,2,3645
2028,192,795,4,23870
2029,228,818,3,26049
2030,195,1409,6,35190
2031,51,130,6,4017
2032,26,31,3,1219
2033,224,496,2,17511
2034,94,516,10,19656
2035,121,301,3,7533
2036,134,366,3,11298
2037,208,667,4,22101
2038,78,156,2,4396
2039,146,549,5,19338
2040,88,364,2,4956
2041,165,494,3,15557
2042,155,333,2,8708
2043,221,875,5,30567
2044,177,913,4,20590
2045,225,1319,4,32923
2046,96,144,2,5597
2047,72,139,4,5365
2048,159,327,2,11165
2049,65,122,3,4847
2050,131,242,3,9994
2051,44,119,5,3382
2052,126,412,2,9614
2053,37,53,5,2325
2054,115,318,4,9933
2055,29,27,3,1357
2056,126,321,4,12144
2057,148,328,3,9801
2058,224,815,2,16613
2059,228,586,3,15081
2060,16,45,6,693
2061,171,461,4,15778
2062,45,148,9,5460
2063,150,545,5,21973
2064,34,46,5,2139
2065,195,2997,13,55131
2066,200,685,3,18446
2067,69,438,10,10981
2068,103,357,5,9729
2069,20,36,5,1107
2070,179,2732,9,44516
2071,220,535,3,19845
2072,238,2573,10,65349
2073,82,106,3,4290
2074,178,489,3,15351
2075,168,1360,9,32689
2076,89,270,4,5370
2077,122,526,5,14455
2078,58,105,2,2925
2079,110,298,3,6851
2080,227,915,6,32760
2081,77,135,2,4495
2082,55,88,2,2664
2083,81,162,2,5053
2084,18,10,4,666
2085,142,344,3,11685
2086,152,436,2,10675
2087,194,1363,6,29175
2088,242,1127,5,32980
2089,202,523,2,16200
2090,179,547,3,16514
2091,228,596,2,16909
2092,92,128,2,6290
2093,109,225,2,7446
2094,1,0,1,3
2095,140,504,3,12083
2096,11,7,3,276
2097,188,727,4,19981
2098,184,485,3,12546
2099,136,856,3,15015
2100,18,15,2,518
2101,218,600,2,17043
2102,14,11,2,377
2103,204,511,4,18814
2104,120,438,6,17834
2105,164,326,3,11844
2106,239,1032,2,23471
2107,21,16,3,645
2108,79,132,2,4293
2109,149,1859,17,50531
2110,208,466,2,15429
2111,151,379,3,10605
2112,41,130,8,4399
